0.599,0.247
0.517,0.573
0.552,0.406
0.146,0.868
0.112,0.139
0.149,0.039
0.858,0.892
0.123,0.462
0.393,0.126
0.864,0.864
0.741,0.167
0.264,0.192
0.832,0.468
0.150,0.010
0.279,0.974
0.032,0.911
0.058,0.672
0.350,0.455
0.221,0.339
0.308,0.709
0.871,0.409
0.816,0.012
0.788,0.526
0.834,0.224
0.377,0.698
0.848,0.478
0.846,0.548
0.991,0.905
0.386,0.955
0.765,0.526
0.991,0.695
0.195,0.114
0.262,0.736
0.550,0.397
0.758,0.024
0.814,0.748
0.180,0.389
0.038,0.012
0.996,0.488
0.372,0.196
0.807,0.706
0.002,0.771
0.111,0.949
0.333,0.451
0.005,0.824
0.308,0.556
0.927,0.156
0.867,0.500
0.924,0.822
0.443,0.089
0.030,0.874
0.474,0.664
0.882,0.305
0.896,0.028
0.280,0.812
0.853,0.945
0.303,0.780
0.985,0.527
0.253,0.039
0.760,0.139
0.387,0.309
0.417,0.906
0.426,0.913
0.805,0.288
0.318,0.370
0.606,0.674
0.972,0.927
0.612,0.046
0.545,0.404
0.545,0.040
0.996,0.057
0.273,0.072
0.548,0.352
0.375,0.789
0.904,0.166
0.279,0.473
0.113,0.387
0.302,0.922
0.199,0.721
0.216,0.626
0.582,0.459
0.817,0.223
0.477,0.982
0.183,0.545
0.293,0.124
0.852,0.578
0.579,0.545
0.184,0.569
0.091,0.683
0.051,0.189
0.294,0.279
0.812,0.288
0.074,0.068
0.149,0.394
0.197,0.235
0.184,0.299
0.505,0.971
0.792,0.173
0.803,0.710
0.906,0.435
0.867,0.698
0.273,0.390
0.838,0.808
0.246,0.836
0.946,0.878
0.381,0.541
0.846,0.716
0.709,0.285
0.611,0.054
0.297,0.203
0.387,0.738
0.261,0.179
0.842,0.915
0.446,0.244
0.252,0.416
0.802,0.561
0.577,0.978
0.078,0.475
0.479,0.554
0.168,0.169
0.415,0.606
0.303,0.498
0.987,0.030
0.466,0.474
0.692,0.266
0.800,0.401
0.095,0.630
0.026,0.717
0.012,0.597
0.871,0.698
0.624,0.432
0.336,0.370
0.375,0.530
0.143,0.882
0.626,0.374
0.982,0.873
0.607,0.372
0.369,0.067
0.343,0.246
0.609,0.720
0.292,0.546
0.787,0.642
0.744,0.218
0.635,0.274
0.231,0.271
0.367,0.471
0.229,0.350
0.896,0.135
0.216,0.061
0.709,0.529
0.474,0.034
0.961,0.844
0.820,0.875
0.777,0.139
0.971,0.934
0.696,0.292
0.001,0.486
0.595,0.994
0.133,0.089
0.426,0.751
0.340,0.662
0.889,0.793
0.102,0.446
0.038,0.169
0.771,0.174
0.559,0.615
0.157,0.915
0.059,0.919
0.114,0.901
0.368,0.790
0.394,0.733
0.852,0.525
0.402,0.395
0.057,0.015
0.744,0.415
0.151,0.872
0.638,0.475
0.357,0.345
0.371,0.887
0.379,0.019
0.145,0.346
0.166,0.823
0.999,0.334
0.485,0.048
0.194,0.229
0.387,0.826
0.399,0.741
0.529,0.664
0.197,0.039
0.247,0.101
0.703,0.569
0.794,0.403
0.260,0.861
0.566,0.473
0.891,0.348
0.409,0.257
0.133,0.571
0.921,0.649
0.664,0.858
0.700,0.376
0.803,0.124
0.871,0.509
0.546,0.923
0.683,0.078
0.253,0.711
0.093,0.261
0.264,0.708
0.052,0.345
0.426,0.073
0.458,0.531
0.971,0.874
0.931,0.271
0.150,0.638
0.202,0.586
0.196,0.065
0.449,0.636
0.094,0.550
0.437,0.255
0.172,0.234
0.897,0.032
0.147,0.518
0.683,0.410
0.240,0.274
0.649,0.713
0.970,0.704
0.422,0.246
0.535,0.727
0.117,0.060
0.224,0.419
0.667,0.009
0.539,0.291
0.335,0.433
0.460,0.402
0.087,0.159
0.493,0.387
0.997,0.770
0.583,0.548
0.050,0.677
0.565,0.516
0.766,0.783
0.217,0.185
0.660,0.331
0.455,0.044
0.423,0.942
0.688,0.819
0.628,0.585
0.971,0.490
0.790,0.231
0.102,0.181
