CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,LABEL
-1,-0.64,-0.864369501466276,-1,-0.37037037037037,0.155010538417321,0.283213182286303,-0.461593721867072,-1,-0.583969465648855,-0.425531914893617,1,-0.820640176600441,24
-0.999528154921643,-1,-0.515395894428152,-1,-0.654320987654321,0.0959954014178963,0.565396498455201,-0.302076039611163,-0.91304347826087,-0.790076335877863,0.106382978723405,1,-0.591059602649007,21.6
-0.999528604511999,-1,-0.515395894428152,-1,-0.654320987654321,0.388771795363096,0.198764160659114,-0.302076039611163,-0.91304347826087,-0.790076335877863,0.106382978723405,0.97947450703515,-0.873068432671082,34.7
-0.999414408561639,-1,-0.873900293255132,-1,-0.699588477366255,0.31711055757808,-0.116374871266735,-0.102910820322091,-0.826086956521739,-0.866412213740458,0.297872340425532,0.988552120631399,-0.933222958057395,33.4
-0.998589859849198,-1,-0.873900293255132,-1,-0.699588477366255,0.374209618700901,0.0566426364572608,-0.102910820322091,-0.826086956521739,-0.866412213740458,0.297872340425532,1,-0.801324503311258,36.2
-0.999471056946463,-1,-0.873900293255132,-1,-0.699588477366255,0.0994443379957846,0.149330587023687,-0.102910820322091,-0.826086956521739,-0.866412213740458,0.297872340425532,0.985980130112462,-0.80794701986755,28.7
-0.998157353926969,-0.75,-0.456744868035191,-1,-0.42798353909465,-0.0607396052883694,0.312049433573635,-0.194154716329147,-0.652173913043478,-0.526717557251908,-0.446808510638298,0.993443945736043,-0.409492273730684,22.9
-0.996892656256252,-0.75,-0.456744868035191,-1,-0.42798353909465,0.000574822762981375,0.91967044284243,-0.123225636315689,-0.652173913043478,-0.526717557251908,-0.446808510638298,1,-0.0386313465783666,27.1
-0.995393497215013,-0.75,-0.456744868035191,-1,-0.42798353909465,-0.206744587085648,1,-0.0992916185470452,-0.652173913043478,-0.526717557251908,-0.446808510638298,0.948207171314741,0.556291390728477,16.5
-0.996319653347852,-0.75,-0.456744868035191,-1,-0.42798353909465,-0.063805326690937,0.709577754891864,-0.00653820622175338,-0.652173913043478,-0.526717557251908,-0.446808510638298,0.948610620807908,-0.151766004415011,18.9
-0.995086651797215,-0.75,-0.456744868035191,-1,-0.42798353909465,0.0791339337037746,0.88259526261586,-0.0511689657994525,-0.652173913043478,-0.526717557251908,-0.446808510638298,0.97791114024913,0.0331125827814569,15
-0.997501401597934,-0.75,-0.456744868035191,-1,-0.42798353909465,-0.0618892508143319,0.64778578784758,-0.0729932981112859,-0.652173913043478,-0.526717557251908,-0.446808510638298,1,-0.363134657836645,18.9
-0.998033941374317,-0.75,-0.456744868035191,-1,-0.42798353909465,-0.107875071852845,-0.25643666323378,-0.214087606507288,-0.652173913043478,-0.526717557251908,-0.446808510638298,0.967724040546674,-0.228476821192053,21.7
-0.985985369430643,-1,-0.436950146627566,-1,-0.37037037037037,-0.0848821613335887,0.213182286302781,-0.349289345179096,-0.739130434782609,-0.541984732824427,0.787234042553191,1,-0.63962472406181,20.4
